cidade,h,data_alvo,real,previsto
americana,1,2021-04-11,133.0,99.4
americana,1,2021-04-18,108.0,152.2
americana,1,2021-04-25,82.0,104.6
americana,1,2021-05-02,73.0,78.6
americana,1,2021-05-09,53.0,53.2
americana,1,2021-05-16,48.0,39.3
americana,1,2021-05-23,47.0,34.5
americana,1,2021-05-30,32.0,36.8
americana,1,2021-06-06,18.0,23.1
americana,1,2021-06-13,29.0,16.1
americana,1,2021-06-20,22.0,20.6
americana,1,2021-06-27,11.0,16.1
americana,1,2021-07-04,13.0,9.5
americana,1,2021-07-11,12.0,9.3
americana,1,2021-07-18,16.0,9.4
americana,1,2021-07-25,10.0,11.1
americana,1,2021-08-01,9.0,8.6
americana,1,2021-08-08,11.0,8.6
americana,1,2021-08-15,11.0,9.9
americana,1,2021-08-22,11.0,9.3
americana,1,2021-08-29,17.0,10.6
americana,1,2021-09-05,20.0,12.6
americana,1,2021-09-12,24.0,16.8
americana,1,2021-09-19,19.0,21.0
americana,1,2021-09-26,19.0,20.2
americana,1,2021-10-03,21.0,18.1
americana,1,2021-10-10,26.0,20.4
americana,1,2021-10-17,16.0,24.0
americana,1,2021-10-24,20.0,16.6
americana,1,2021-10-31,27.0,19.9
americana,1,2021-11-07,21.0,24.8
americana,1,2021-11-14,29.0,20.8
americana,1,2021-11-21,26.0,26.6
americana,1,2021-11-28,37.0,27.1
americana,1,2021-12-05,46.0,35.6
americana,1,2021-12-12,26.0,40.4
americana,1,2021-12-19,5.0,23.9
americana,1,2021-12-26,0.0,16.4
americana,1,2022-01-02,46.0,2.6
americana,1,2022-01-09,45.0,30.1
americana,1,2022-01-16,32.0,59.7
americana,1,2022-01-23,30.0,40.8
americana,1,2022-01-30,38.0,34.1
americana,1,2022-02-06,47.0,39.7
americana,1,2022-02-13,59.0,52.5
americana,1,2022-02-20,63.0,63.3
americana,1,2022-02-27,135.0,73.0
americana,1,2022-03-06,191.0,149.1
americana,1,2022-03-13,310.0,244.6
americana,1,2022-03-20,538.0,385.3
americana,1,2022-03-27,661.0,669.2
americana,1,2022-04-03,610.0,800.4
americana,1,2022-04-10,687.0,678.1
americana,1,2022-04-17,764.0,678.4
americana,1,2022-04-24,655.0,692.4
americana,1,2022-05-01,878.0,575.1
americana,1,2022-05-08,603.0,736.6
americana,1,2022-05-15,367.0,449.2
americana,1,2022-05-22,224.0,267.9
americana,1,2022-05-29,159.0,158.6
americana,1,2022-06-05,121.0,118.3
americana,1,2022-06-12,86.0,91.7
americana,1,2022-06-19,94.0,70.7
americana,1,2022-06-26,51.0,70.2
americana,1,2022-07-03,42.0,41.1
americana,1,2022-07-10,44.0,30.1
americana,1,2022-07-17,41.0,29.9
americana,1,2022-07-24,35.0,30.2
americana,1,2022-07-31,29.0,29.8
americana,1,2022-08-07,19.0,24.2
americana,1,2022-08-14,36.0,20.2
americana,1,2022-08-21,20.0,27.1
americana,1,2022-08-28,28.0,20.6
americana,1,2022-09-04,33.0,25.8
americana,1,2022-09-11,24.0,34.1
americana,1,2022-09-18,29.0,26.7
americana,1,2022-09-25,17.0,27.3
americana,1,2022-10-02,24.0,19.1
americana,1,2022-10-09,34.0,22.4
americana,1,2022-10-16,35.0,29.1
americana,1,2022-10-23,25.0,32.1
americana,1,2022-10-30,23.0,26.1
americana,1,2022-11-06,20.0,25.6
americana,1,2022-11-13,33.0,20.5
americana,1,2022-11-20,30.0,28.2
americana,1,2022-11-27,16.0,27.9
americana,1,2022-12-04,5.0,19.3
americana,1,2022-12-11,0.0,4.1
americana,1,2022-12-18,2.0,0.4
americana,1,2022-12-25,3.0,2.4
americana,1,2023-01-01,16.0,3.3
americana,1,2023-01-08,16.0,8.4
americana,1,2023-01-15,28.0,16.9
americana,1,2023-01-22,42.0,33.8
americana,1,2023-01-29,21.0,51.9
americana,1,2023-02-05,33.0,30.0
americana,1,2023-02-12,29.0,32.6
americana,1,2023-02-19,34.0,29.1
americana,1,2023-02-26,57.0,39.6
americana,1,2023-03-05,59.0,70.1
americana,1,2023-03-12,94.0,71.1
americana,1,2023-03-19,143.0,115.6
americana,1,2023-03-26,168.0,169.8
americana,1,2023-04-02,175.0,205.2
americana,1,2023-04-09,242.0,197.2
americana,1,2023-04-16,200.0,252.2
americana,1,2023-04-23,200.0,192.1
americana,1,2023-04-30,217.0,185.8
americana,1,2023-05-07,170.0,178.1
americana,1,2023-05-14,145.0,129.4
americana,1,2023-05-21,88.0,110.5
americana,1,2023-05-28,79.0,67.7
americana,1,2023-06-04,70.0,58.3
americana,1,2023-06-11,53.0,53.2
americana,1,2023-06-18,67.0,40.6
americana,1,2023-06-25,42.0,53.9
americana,1,2023-07-02,49.0,35.2
americana,1,2023-07-09,29.0,39.1
americana,1,2023-07-16,34.0,24.4
americana,1,2023-07-23,30.0,27.2
americana,1,2023-07-30,28.0,22.7
americana,1,2023-08-06,23.0,23.5
americana,1,2023-08-13,36.0,21.0
americana,1,2023-08-20,44.0,29.9
americana,1,2023-08-27,26.0,36.0
americana,1,2023-09-03,33.0,26.4
americana,1,2023-09-10,61.0,28.9
americana,1,2023-09-17,45.0,55.4
americana,1,2023-09-24,49.0,41.8
americana,1,2023-10-01,38.0,53.5
americana,1,2023-10-08,41.0,33.8
americana,1,2023-10-15,54.0,43.8
americana,1,2023-10-22,47.0,48.3
americana,1,2023-10-29,42.0,44.9
americana,1,2023-11-05,47.0,41.6
americana,1,2023-11-12,69.0,46.2
americana,1,2023-11-19,52.0,60.8
americana,1,2023-11-26,56.0,54.0
americana,1,2023-12-03,31.0,57.4
americana,1,2023-12-10,37.0,18.0
americana,1,2023-12-17,8.0,32.0
americana,1,2023-12-24,6.0,4.8
americana,1,2023-12-31,73.0,27.6
americana,1,2024-01-07,70.0,59.5
americana,1,2024-01-14,76.0,60.0
americana,1,2024-01-21,91.0,79.4
americana,1,2024-01-28,145.0,110.2
americana,1,2024-02-04,189.0,156.6
americana,1,2024-02-11,270.0,230.1
americana,1,2024-02-18,347.0,347.1
americana,1,2024-02-25,393.0,463.9
americana,1,2024-03-03,379.0,469.2
americana,1,2024-03-10,485.0,428.7
americana,1,2024-03-17,413.0,507.0
americana,1,2024-03-24,443.0,421.7
americana,1,2024-03-31,521.0,462.2
americana,1,2024-04-07,545.0,514.9
americana,1,2024-04-14,765.0,538.4
americana,1,2024-04-21,862.0,701.9
americana,1,2024-04-28,938.0,813.8
americana,1,2024-05-05,1116.0,744.1
americana,1,2024-05-12,1120.0,908.9
americana,1,2024-05-19,937.0,849.2
americana,1,2024-05-26,791.0,732.7
americana,1,2024-06-02,711.0,559.8
americana,1,2024-06-09,611.0,463.2
americana,1,2024-06-16,484.0,453.7
americana,1,2024-06-23,357.0,363.2
americana,1,2024-06-30,191.0,262.8
americana,1,2024-07-07,166.0,152.7
americana,1,2024-07-14,178.0,131.4
americana,1,2024-07-21,157.0,141.9
americana,1,2024-07-28,145.0,121.7
americana,1,2024-08-04,110.0,133.3
americana,1,2024-08-11,118.0,107.0
americana,1,2024-08-18,161.0,114.7
americana,1,2024-08-25,139.0,131.2
americana,1,2024-09-01,108.0,138.8
americana,1,2024-09-08,124.0,123.7
americana,1,2024-09-15,114.0,124.2
americana,1,2024-09-22,115.0,118.6
americana,1,2024-09-29,134.0,111.6
americana,1,2024-10-06,167.0,122.0
americana,1,2024-10-13,125.0,142.3
americana,1,2024-10-20,103.0,125.4
americana,1,2024-10-27,86.0,110.4
americana,1,2024-11-03,86.0,92.4
americana,1,2024-11-10,89.0,85.4
americana,1,2024-11-17,108.0,100.2
americana,1,2024-11-24,115.0,99.7
americana,1,2024-12-01,102.0,102.5
americana,1,2024-12-08,143.0,97.8
americana,1,2024-12-15,115.0,109.9
americana,1,2024-12-22,129.0,91.0
americana,1,2024-12-29,233.0,120.9
americana,1,2025-01-05,318.0,197.5
americana,1,2025-01-12,428.0,360.1
americana,1,2025-01-19,653.0,511.9
americana,1,2025-01-26,874.0,818.8
americana,1,2025-02-02,992.0,1110.8
americana,1,2025-02-09,1214.0,1247.0
americana,1,2025-02-16,1483.0,1432.2
americana,1,2025-02-23,1843.0,1645.0
americana,1,2025-03-02,2039.0,2051.5
americana,1,2025-03-09,2174.0,2263.4
americana,1,2025-03-16,2304.0,2337.0
americana,1,2025-03-23,2015.0,2407.0
americana,1,2025-03-30,1795.0,2020.1
americana,1,2025-04-06,1415.0,1692.8
americana,1,2025-04-13,1118.0,1192.7
americana,1,2025-04-20,1056.0,944.7
americana,1,2025-04-27,763.0,900.7
americana,1,2025-05-04,809.0,548.0
americana,1,2025-05-11,618.0,606.7
americana,1,2025-05-18,572.0,461.6
americana,1,2025-05-25,398.0,407.5
americana,1,2025-06-01,290.0,290.4
americana,1,2025-06-08,170.0,236.2
americana,1,2025-06-15,168.0,135.6
americana,1,2025-06-22,125.0,128.3
americana,1,2025-06-29,66.0,90.6
americana,1,2025-07-06,65.0,54.1
americana,1,2025-07-13,87.0,48.9
americana,1,2025-07-20,77.0,67.3
americana,1,2025-07-27,60.0,66.0
americana,1,2025-08-03,50.0,55.7
americana,1,2025-08-10,50.0,47.1
americana,1,2025-08-17,56.0,48.2
americana,1,2025-08-24,68.0,50.7
americana,1,2025-08-31,79.0,63.5
americana,1,2025-09-07,131.0,73.2
americana,1,2025-09-14,136.0,112.0
americana,1,2025-09-21,115.0,123.2
americana,1,2025-09-28,169.0,110.9
americana,1,2025-10-05,160.0,146.3
americana,1,2025-10-12,167.0,151.9
americana,1,2025-10-19,91.0,161.0
americana,1,2025-10-26,119.0,96.8
americana,1,2025-11-02,131.0,119.3
americana,1,2025-11-09,121.0,119.5
americana,1,2025-11-16,107.0,130.5
americana,1,2025-11-23,91.0,107.1
americana,1,2025-11-30,101.0,88.1
americana,1,2025-12-07,105.0,86.5
americana,1,2025-12-14,79.0,84.9
americana,1,2025-12-21,54.0,59.6
americana,1,2025-12-28,85.0,119.6
americana,1,2026-01-04,149.0,118.6
americana,1,2026-01-11,116.0,178.4
americana,1,2026-01-18,121.0,136.2
americana,1,2026-01-25,138.0,136.2
americana,1,2026-02-01,164.0,153.4
americana,1,2026-02-08,176.0,183.4
americana,1,2026-02-15,199.0,200.0
americana,1,2026-02-22,204.0,227.1
americana,1,2026-03-01,189.0,234.2
americana,1,2026-03-08,162.0,206.8
americana,1,2026-03-15,193.0,175.4
americana,1,2026-03-22,254.0,192.2
americana,1,2026-03-29,191.0,254.3
americana,1,2026-04-05,197.0,195.7
americana,1,2026-04-12,166.0,195.5
americana,1,2026-04-19,145.0,157.7
americana,1,2026-04-26,132.0,131.3
americana,1,2026-05-03,151.0,106.4
americana,1,2026-05-10,79.0,114.5
americana,1,2026-05-17,105.0,63.1
americana,1,2026-05-24,86.0,78.1
americana,1,2026-05-31,68.0,60.4
americana,1,2026-06-07,57.0,53.6
americana,1,2026-06-14,57.0,47.9
americana,1,2026-06-21,59.0,43.5
americana,1,2026-06-28,66.0,46.6
americana,1,2026-07-05,48.0,54.2
americana,2,2015-01-18,52.0,55.5
americana,2,2015-01-25,97.0,61.0
americana,2,2015-02-01,170.0,66.2
americana,2,2015-02-08,168.0,162.6
americana,2,2015-02-15,221.0,226.7
americana,2,2015-02-22,326.0,155.0
americana,2,2015-03-01,789.0,321.6
americana,2,2015-03-08,891.0,483.2
americana,2,2015-03-15,1052.0,1135.1
americana,2,2015-03-22,1287.0,1123.5
americana,2,2015-03-29,976.0,1514.0
americana,2,2015-04-05,1073.0,1758.3
americana,2,2015-04-12,1174.0,1156.8
americana,2,2015-04-19,1023.0,1073.1
americana,2,2015-04-26,1025.0,1021.6
americana,2,2015-05-03,670.0,691.1
americana,2,2015-05-10,527.0,650.7
americana,2,2015-05-17,396.0,410.6
americana,2,2015-05-24,206.0,210.5
americana,2,2015-05-31,160.0,176.2
americana,2,2015-06-07,85.0,88.2
americana,2,2015-06-14,92.0,70.9
americana,2,2015-06-21,47.0,57.8
americana,2,2015-06-28,49.0,69.9
americana,2,2015-07-05,20.0,27.1
americana,2,2015-07-12,19.0,23.8
americana,2,2015-07-19,18.0,16.2
americana,2,2015-07-26,19.0,10.5
americana,2,2015-08-02,6.0,12.9
americana,2,2015-08-09,6.0,14.8
americana,2,2015-08-16,1.0,8.1
americana,2,2015-08-23,1.0,8.8
americana,2,2015-08-30,4.0,5.4
americana,2,2015-09-06,2.0,4.2
americana,2,2015-09-13,1.0,7.5
americana,2,2015-09-20,3.0,2.6
americana,2,2015-09-27,3.0,1.5
americana,2,2015-10-04,6.0,1.4
americana,2,2015-10-11,4.0,2.3
americana,2,2015-10-18,7.0,2.8
americana,2,2015-10-25,12.0,3.9
americana,2,2015-11-01,8.0,4.5
americana,2,2015-11-08,8.0,7.2
americana,2,2015-11-15,7.0,7.2
americana,2,2015-11-22,8.0,8.4
americana,2,2015-11-29,12.0,6.0
americana,2,2015-12-06,26.0,7.5
americana,2,2015-12-13,11.0,11.5
americana,2,2015-12-20,12.0,19.2
americana,2,2015-12-27,12.0,14.7
americana,2,2016-01-03,31.0,19.9
americana,2,2016-01-10,33.0,19.8
americana,2,2016-01-17,43.0,26.6
americana,2,2016-01-24,70.0,60.1
americana,2,2016-01-31,101.0,58.2
americana,2,2016-02-07,161.0,113.6
americana,2,2016-02-14,215.0,169.4
americana,2,2016-02-21,198.0,270.6
americana,2,2016-02-28,257.0,292.2
americana,2,2016-03-06,231.0,289.1
